,Name,Average User Rating,User Rating Count,Price,In-app Purchases,categories,categoryCount
0,Sudoku,4.0,3553.0,2.99,0.0,sudoku,11
1,Sudoku,4.0,3553.0,2.99,0.0,notes,6
2,Sudoku,4.0,3553.0,2.99,0.0,solving,5
3,Sudoku,4.0,3553.0,2.99,0.0,puzzles,5
4,Reversi,3.5,284.0,1.99,0.0,game,6
5,Reversi,3.5,284.0,1.99,0.0,reversi,3
6,Reversi,3.5,284.0,1.99,0.0,play,3
7,Reversi,3.5,284.0,1.99,0.0,one,3
8,Morocco,3.0,8376.0,0.0,0.0,play,4
9,Morocco,3.0,8376.0,0.0,0.0,game,3
10,Morocco,3.0,8376.0,0.0,0.0,option,2
11,Morocco,3.0,8376.0,0.0,0.0,iphone,2
12,Sudoku (Free),3.5,190394.0,0.0,0.0,sudoku,8
13,Sudoku (Free),3.5,190394.0,0.0,0.0,notes,6
14,Sudoku (Free),3.5,190394.0,0.0,0.0,puzzles,5
15,Sudoku (Free),3.5,190394.0,0.0,0.0,solving,4
16,Senet Deluxe,3.5,28.0,2.99,0.0,game,9
17,Senet Deluxe,3.5,28.0,2.99,0.0,senet,4
18,Senet Deluxe,3.5,28.0,2.99,0.0,side,3
19,Senet Deluxe,3.5,28.0,2.99,0.0,player,3
20,Sudoku - Classic number puzzle,3.0,47.0,0.0,1.99,sudoku,6
21,Sudoku - Classic number puzzle,3.0,47.0,0.0,1.99,puzzle,5
22,Sudoku - Classic number puzzle,3.0,47.0,0.0,1.99,numbers,5
23,Sudoku - Classic number puzzle,3.0,47.0,0.0,1.99,choose,4
24,Gravitation,2.5,35.0,0.0,0.0,new,3
25,Gravitation,2.5,35.0,0.0,0.0,balls,3
26,Gravitation,2.5,35.0,0.0,0.0,gravitation,2
27,Gravitation,2.5,35.0,0.0,0.0,fall,2
28,Colony,2.5,125.0,0.99,0.0,hexagons,5
29,Colony,2.5,125.0,0.99,0.0,pieces,3
30,Colony,2.5,125.0,0.99,0.0,levels,3
31,Colony,2.5,125.0,0.99,0.0,game,3
32,Carte,2.5,44.0,0.0,0.0,la,4
33,Carte,2.5,44.0,0.0,0.0,carte,4
34,Carte,2.5,44.0,0.0,0.0,cartes,3
35,Carte,2.5,44.0,0.0,0.0,une,2
36,"""Barrels O' Fun""",2.5,184.0,0.0,0.0,barrels,3
37,"""Barrels O' Fun""",2.5,184.0,0.0,0.0,o2019,2
38,"""Barrels O' Fun""",2.5,184.0,0.0,0.0,get,2
39,"""Barrels O' Fun""",2.5,184.0,0.0,0.0,fun,2
40,Quaddraxx,0.0,0.0,0.0,0.0,rotate,3
41,Quaddraxx,0.0,0.0,0.0,0.0,dice,3
42,Quaddraxx,0.0,0.0,0.0,0.0,2013,3
43,Quaddraxx,0.0,0.0,0.0,0.0,touch,2
44,Lumen Lite,3.5,5072.0,0.0,0.0,lumen,4
45,Lumen Lite,3.5,5072.0,0.0,0.0,version,2
46,Lumen Lite,3.5,5072.0,0.0,0.0,puzzles,2
47,Lumen Lite,3.5,5072.0,0.0,0.0,full,2
48,BubblePop,3.0,526.0,0.0,0.0,pop,4
49,BubblePop,3.0,526.0,0.0,0.0,time,3
50,BubblePop,3.0,526.0,0.0,0.0,you2019ll,2
51,BubblePop,3.0,526.0,0.0,0.0,popping,2
52,Marple,3.5,989.0,0.99,0.0,two,5
